Timestamp,Region,Risk Score,Risk Level
2020-07-07,Santa Monica,0.8848714281810486,1
2020-07-07,Sherman Oaks,1.9734333703030131,2
2020-07-07,South El Monte,4.1960039086406775,3
2020-07-07,South Gate,6.696454209004834,3
2020-07-07,South Park,8.758945079815476,3
2020-07-07,South Pasadena,0.43934923834463835,0
2020-07-07,South Whittier,6.307356459134697,3
2020-07-07,Stevenson Ranch,0.07145940644744658,0
2020-07-07,Studio City,0.5442861343036774,0
2020-07-07,Sun Valley,2.376475473481786,2
2020-07-07,Sunland,0.9030499075996437,1
2020-07-07,Sylmar,5.018322925334076,3
2020-07-07,Tarzana,1.5451059120620487,1
2020-07-07,Temple City,1.3525592828243755,1
2020-07-07,Torrance,0.8875977323818802,1
2020-07-07,Tujunga,0.2614296524767448,0
2020-07-07,University Park,3.5235008398826535,2
2020-07-07,Valinda,4.7086364968240435,3
2020-07-07,Valley Glen,0.5075332181751174,0
2020-07-07,Van Nuys,2.587649913448537,2
2020-07-07,Venice,0.05063509422593622,0
2020-07-07,Vermont Knolls,3.705310599490289,2
2020-07-07,Vermont Vista,9.649518396951546,3
2020-07-07,Vernon Central,3916.0054795285487,3
2020-07-07,Walnut,0.7992127850411368,1
2020-07-07,Watts,5.751772353008974,3
2020-07-07,West Adams,3.8402598913354353,2
2020-07-07,West Covina,5.1706780736623426,3
2020-07-07,West Hills,0.8795469862640675,1
2020-07-07,West Hollywood,1.0498179635351137,1
2020-07-07,West Vernon,2831.005137017433,3
2020-07-07,Westchester,1.102935836975833,1
2020-07-07,Westlake,1.636565154643415,1
2020-07-07,Westwood,0.05235241668353107,0
2020-07-07,Whittier,4.7735327393923495,3
2020-07-07,Wholesale District,27.989484261775363,3
2020-07-07,Willowbrook,6.2473250235338025,3
2020-07-07,Wilmington,3.945004309010709,2
2020-07-07,Wilshire Center,0.5583016079357952,0
2020-07-07,Winnetka,2.512596311911125,2
2020-07-07,Woodland Hills,1.6938618411104447,1
2020-07-08,Acton,-2.388228159380705,0
2020-07-08,Agoura Hills,-0.3028626846436604,0
2020-07-08,Alhambra,2.3978796671016007,2
2020-07-08,Altadena,2.060135838688258,2
2020-07-08,Arcadia,0.8815860044080222,1
2020-07-08,Arleta,5.579156213796966,3
2020-07-08,Avalon,-8.509360705858056,0
