Timestamp,Region,Risk_score,Risk_level
2020-03-24,Sylmar,-0.5410114973693356,0
2020-03-24,Tarzana,-0.5916817347852116,0
2020-03-24,Torrance,-0.29525423202534024,0
2020-03-24,Venice,-0.6229833412858873,0
2020-03-24,Walnut,-1.0705750240695895,0
2020-03-24,West Adams,-1.0469794272293411,0
2020-03-24,West Hills,-0.7281387737194431,0
2020-03-24,West Hollywood,0.007418161770360847,0
2020-03-24,West Vernon,-272.2965599723803,0
2020-03-24,Westchester,-0.7326915446718122,0
2020-03-24,Woodland Hills,-0.4340048710766071,0
2020-03-25,Alhambra,-0.36997489304942066,0
2020-03-25,Arcadia,-0.5414789232155751,0
2020-03-25,Baldwin Hills,-1.0093064488406283,0
2020-03-25,Beverly Hills,-0.28518044831793726,0
2020-03-25,Beverlywood,-1.638719800375548,0
2020-03-25,Boyle Heights,-0.45868535931112725,0
2020-03-25,Brentwood,0.5343558755461041,0
2020-03-25,Burbank,-0.39758485812495437,0
2020-03-25,Calabasas,-1.0753384828292532,0
2020-03-25,Carson,-0.31460308232480266,0
2020-03-25,Castaic,-1.5155280344039561,0
2020-03-25,Century City,-2.544109166816918,0
2020-03-25,Covina,-0.5656494410870099,0
2020-03-25,Crestview,-1.081033422351793,0
2020-03-25,Culver City,-0.5034219821550284,0
2020-03-25,Diamond Bar,-0.5867612070940537,0
2020-03-25,Eagle Rock,-0.7726512023787561,0
2020-03-25,East Los Angeles,-0.43520055167901645,0
2020-03-25,Echo Park,-0.7694676765389271,0
2020-03-25,Encino,-0.3486011901899137,0
2020-03-25,Gardena,-0.5478397444557023,0
2020-03-25,Glendale,-0.21990031416548428,0
2020-03-25,Granada Hills,-0.5531869631044491,0
2020-03-25,Hancock Park,-1.2453229841711717,0
2020-03-25,Hawthorne,-0.4524736724887943,0
2020-03-25,Hollywood,-0.19494001508015502,0
2020-03-25,Hollywood Hills,-0.7224044164497831,0
2020-03-25,Inglewood,-0.3424637535556874,0
2020-03-25,Koreatown,-0.4061416367053116,0
2020-03-25,La Mirada,-0.6092304905420755,0
2020-03-25,Lawndale,-0.667153021568288,0
2020-03-25,Lomita,-0.4994556101033744,0
