,ZIP,date_start - date_end,Predicted new cases,cases/population
79,90006,2020/4/19 - 2020/4/22,37.944115,6.149974826584102
80,90006,2020/4/20 - 2020/4/23,43.641106,7.073342029215771
81,90006,2020/4/21 - 2020/4/24,38.05224,6.167499507983317
82,90006,2020/4/22 - 2020/4/25,25.016233,4.0546263159606255
83,90006,2020/4/23 - 2020/4/26,22.889563,3.7099359147478888
84,90006,2020/4/24 - 2020/4/27,20.781942,3.3683332308265603
85,90006,2020/4/25 - 2020/4/28,27.017202,4.3789429766474335
86,90006,2020/4/26 - 2020/4/29,25.288506,4.098756127297355
87,90006,2020/4/27 - 2020/4/30,38.193275,6.190358755820311
88,90006,2020/4/28 - 2020/5/1,39.360058,6.379470619924559
89,90006,2020/4/29 - 2020/5/2,39.979374,6.479849254738365
90,90006,2020/4/30 - 2020/5/3,38.306572,6.20872183222296
91,90006,2020/5/1 - 2020/5/4,40.78969,6.6111848212829525
92,90006,2020/5/2 - 2020/5/5,43.750206,7.091024991677582
93,90006,2020/5/3 - 2020/5/6,39.690758,6.433070399602069
94,90006,2020/5/4 - 2020/5/7,40.768425,6.607738498459102
95,90006,2020/5/5 - 2020/5/8,38.276844,6.203903534094817
96,90006,2020/5/6 - 2020/5/9,35.015408,5.675290538146433
97,90006,2020/5/7 - 2020/5/10,36.223743,5.871137385121187
98,90006,2020/5/8 - 2020/5/11,41.438362,6.716321780541027
99,90006,2020/5/9 - 2020/5/12,55.37131,8.974571491416924
100,90006,2020/5/10 - 2020/5/13,49.821354,8.075035481272248
101,90006,2020/5/11 - 2020/5/14,46.1783,7.484569832116975
102,90018,2020/3/22 - 2020/3/25,0.24718536,0.046414556926088646
103,90018,2020/3/23 - 2020/3/26,-0.120583475,-0.022642232731725605
104,90018,2020/3/24 - 2020/3/27,0.54009044,0.10141400813125213
105,90018,2020/3/25 - 2020/3/28,1.5293547,0.28717040173979125
106,90018,2020/3/26 - 2020/3/29,1.8683174,0.35081819243772766
107,90018,2020/3/27 - 2020/3/30,1.11979,0.2102655021030838
108,90018,2020/3/28 - 2020/3/31,0.26364326,0.04950489424111984
109,90018,2020/3/29 - 2020/4/1,2.570112,0.4825957619751719
110,90018,2020/3/30 - 2020/4/2,1.049131,0.19699771590144746
111,90018,2020/3/31 - 2020/4/3,1.8905897,0.355000321851114
112,90018,2020/4/1 - 2020/4/4,3.0817611,0.5786692807852407
113,90018,2020/4/2 - 2020/4/5,3.8271093,0.7186250069199766
114,90018,2020/4/3 - 2020/4/6,3.5284626,0.662547440361973
115,90018,2020/4/4 - 2020/4/7,1.7080742,0.3207289717729983
116,90018,2020/4/5 - 2020/4/8,3.6881425,0.6925308956869984
117,90018,2020/4/6 - 2020/4/9,3.19123,0.5992245115423697
118,90018,2020/4/7 - 2020/4/10,2.477219,0.46515305407218827
119,90018,2020/4/8 - 2020/4/11,2.4843554,0.46649306175388944
120,90018,2020/4/9 - 2020/4/12,3.9072328,0.7336699642074239
121,90018,2020/4/10 - 2020/4/13,4.054117,0.7612507891615572
122,90018,2020/4/11 - 2020/4/14,2.920949,0.5484732203392613
123,90018,2020/4/12 - 2020/4/15,1.770131,0.33238151418351547
124,90018,2020/4/13 - 2020/4/16,3.5495238,0.6665021463147474
125,90018,2020/4/14 - 2020/4/17,3.9466965,0.7410801637095698
126,90018,2020/4/15 - 2020/4/18,2.0152915,0.3784158503094181
127,90018,2020/4/16 - 2020/4/19,4.6338058,0.870100223787092
128,90018,2020/4/17 - 2020/4/20,7.074737,1.3284394381836726
129,90018,2020/4/18 - 2020/4/21,11.893963,2.2333564030545707
130,90018,2020/4/19 - 2020/4/22,10.558375,1.9825701063883023
131,90018,2020/4/20 - 2020/4/23,10.6467905,1.9991720190129876
132,90018,2020/4/21 - 2020/4/24,9.094308,1.7076588364644543
133,90018,2020/4/22 - 2020/4/25,5.4883237,1.0305549963397702
134,90018,2020/4/23 - 2020/4/26,4.7235737,0.8869561523006577
135,90018,2020/4/24 - 2020/4/27,2.57433,0.48338780446831164
136,90018,2020/4/25 - 2020/4/28,7.704957,1.4467772661036908
137,90018,2020/4/26 - 2020/4/29,9.342323,1.7542292517693137
138,90018,2020/4/27 - 2020/4/30,11.149034,2.0934793349946963
139,90018,2020/4/28 - 2020/5/1,10.872286,2.0415137905391894
140,90018,2020/4/29 - 2020/5/2,7.215723,1.3549126929772657
141,90018,2020/4/30 - 2020/5/3,8.544985,1.6045111945142112
142,90018,2020/5/1 - 2020/5/4,7.8551354,1.4749766112412528
143,90018,2020/5/2 - 2020/5/5,7.5614963,1.4198393153413666
144,90018,2020/5/3 - 2020/5/6,7.77416,1.4597716517002175
145,90018,2020/5/4 - 2020/5/7,8.794316,1.6513287313746963
146,90018,2020/5/5 - 2020/5/8,5.4108405,1.0160058042890983
147,90018,2020/5/6 - 2020/5/9,4.95661,0.9307139482479545
148,90018,2020/5/7 - 2020/5/10,4.3711276,0.8207765520200977
149,90018,2020/5/8 - 2020/5/11,4.1552134,0.7802338433262105
150,90018,2020/5/9 - 2020/5/12,4.416435,0.8292839801829016
151,90018,2020/5/10 - 2020/5/13,5.1266866,0.962649574325628
152,90018,2020/5/11 - 2020/5/14,3.6473837,0.6848775142482295
153,90033,2020/3/22 - 2020/3/25,-0.85110474,-0.17886739724862347
154,90033,2020/3/23 - 2020/3/26,-1.4780889,-0.31063380949990715
155,90033,2020/3/24 - 2020/3/27,-0.80250424,-0.16865356145399032
156,90033,2020/3/25 - 2020/3/28,-0.011605514,-0.002439004311086481
157,90033,2020/3/26 - 2020/3/29,0.22692427,0.047690198262292045
158,90033,2020/3/27 - 2020/3/30,0.06716425,0.014115177630285866
159,90033,2020/3/28 - 2020/3/31,0.74023646,0.15556742138212537
160,90033,2020/3/29 - 2020/4/1,1.934164,0.40648215691343775
161,90033,2020/3/30 - 2020/4/2,1.5543337,0.3266573538508739
162,90033,2020/3/31 - 2020/4/3,1.8882034,0.39682310541413224
163,90033,2020/4/1 - 2020/4/4,1.3747543,0.28891711528365926
164,90033,2020/4/2 - 2020/4/5,2.7135823,0.5702839832078628
165,90033,2020/4/3 - 2020/4/6,3.1094701,0.653483414037169
166,90033,2020/4/4 - 2020/4/7,4.047921,0.8507074334794145
167,90033,2020/4/5 - 2020/4/8,5.0320816,1.057537692874326
168,90033,2020/4/6 - 2020/4/9,3.4650476,0.728211251473243
169,90033,2020/4/7 - 2020/4/10,2.5565865,0.5372898942863089
170,90033,2020/4/8 - 2020/4/11,2.650874,0.5571052475589683
171,90033,2020/4/9 - 2020/4/12,3.222408,0.6772183461024222
172,90033,2020/4/10 - 2020/4/13,3.7111225,0.7799261317734029
173,90033,2020/4/11 - 2020/4/14,3.3593197,0.7059915698652142
174,90033,2020/4/12 - 2020/4/15,2.064037,0.43377615631201644
175,90033,2020/4/13 - 2020/4/16,3.2584531,0.6847935461660773
176,90033,2020/4/14 - 2020/4/17,3.2617338,0.6854830024106263
177,90033,2020/4/15 - 2020/4/18,3.292355,0.691918344908348
178,90033,2020/4/16 - 2020/4/19,4.2673655,0.8968256426932815
179,90033,2020/4/17 - 2020/4/20,5.860709,1.2316813127311546
180,90033,2020/4/18 - 2020/4/21,8.621432,1.8118723713053662
181,90033,2020/4/19 - 2020/4/22,9.294096,1.9532387602803505
182,90033,2020/4/20 - 2020/4/23,10.922035,2.295364986924985
183,90033,2020/4/21 - 2020/4/24,11.07099,2.3266691063540863
184,90033,2020/4/22 - 2020/4/25,7.092877,1.490632560192365
185,90033,2020/4/23 - 2020/4/26,4.977964,1.046164370554181
186,90033,2020/4/24 - 2020/4/27,2.8411093,0.5970849412222582
187,90033,2020/4/25 - 2020/4/28,7.3245344,1.5393174907422253
188,90033,2020/4/26 - 2020/4/29,9.850484,2.0701687355459186
189,90033,2020/4/27 - 2020/4/30,9.494507,1.9953569207358721
190,90033,2020/4/28 - 2020/5/1,13.187749,2.771525315553156
191,90033,2020/4/29 - 2020/5/2,9.48379,1.9931047638114543
192,90033,2020/4/30 - 2020/5/3,12.077861,2.5382722468558847
193,90033,2020/5/1 - 2020/5/4,10.974566,2.306404905040826
194,90033,2020/5/2 - 2020/5/5,10.355299,2.176260218139184
195,90033,2020/5/3 - 2020/5/6,13.675946,2.874124421675123
196,90033,2020/5/4 - 2020/5/7,13.277604,2.79040920141403
197,90033,2020/5/5 - 2020/5/8,10.936251,2.298352497035813
198,90033,2020/5/6 - 2020/5/9,10.653331,2.238894311606557
199,90033,2020/5/7 - 2020/5/10,7.7209873,1.622635672392722
200,90033,2020/5/8 - 2020/5/11,8.094755,1.7011863843661585
201,90033,2020/5/9 - 2020/5/12,9.332568,1.961324037710976
202,90033,2020/5/10 - 2020/5/13,13.726771,2.884805782459133
